Time_(s),Potential_(V),ln(V)
0,2.89377,1.06256015
0.5,2.87424,1.055788291
1,2.85959,1.050678258
1.5,2.84493,1.045538463
2,2.83028,1.040375647
2.5,2.82051,1.03691772
3,2.81075,1.033451352
3.5,2.79609,1.028222013
4,2.78144,1.022968779
4.5,2.77167,1.019450027
5,2.75702,1.014150386
5.5,2.74725,1.010600411
6,2.73748,1.007037789
6.5,2.72283,1.001671781
7,2.70818,0.9962768226
7.5,2.69841,0.9926627107
8,2.68376,0.9872187963
8.5,2.67399,0.983571739
9,2.66423,0.9799150853
9.5,2.64957,0.9743973627
10,2.6398,0.9707031567
10.5,2.63004,0.9669990552
11,2.62027,0.9632773659
11.5,2.60562,0.9576706507
12,2.59585,0.953914016
12.5,2.5812,0.9482544071
13,2.57143,0.9444621644
13.5,2.56166,0.9406554858
14,2.54701,0.9349201222
14.5,2.54212,0.9329983786
15,2.52747,0.9272188024
15.5,2.5177,0.9233457863
16,2.50794,0.919461699
16.5,2.49817,0.9155584638
17,2.48352,0.9096769087
17.5,2.47375,0.9057352179
18,2.46398,0.9017779288
18.5,2.45421,0.8978049172
19,2.44444,0.8938160578
19.5,2.43468,0.8898153311
20,2.42002,0.8837758046
20.5,2.41514,0.8817572564
21,2.40049,0.8756728832
21.5,2.39072,0.8715945758
22,2.38584,0.8695512636
22.5,2.37607,0.8654478623
23,2.36142,0.859263133
23.5,2.35165,0.8551172094
24,2.34188,0.8509540256
24.5,2.337,0.8488680556
25,2.32723,0.8446787191
25.5,2.31258,0.8383637844
26,2.30281,0.8341301164
26.5,2.29304,0.8298784481
27,2.28327,0.825608626
27.5,2.27351,0.8213248928
28,2.26862,0.8191717171
28.5,2.25885,0.8148558342
29,2.24908,0.8105212437
29.5,2.2442,0.8083491102
30,2.22955,0.8017997714
30.5,2.22466,0.799604095
31,2.21001,0.7929970404
31.5,2.20513,0.7907864641
32,2.19536,0.7863460422
32.5,2.19048,0.7841206979
33,2.18071,0.7796505119
33.5,2.17094,0.7751602535
34,2.16117,0.7706497417
34.5,2.15629,0.7683891524
35,2.14164,0.7615718907
35.5,2.13187,0.7569995288
36,2.12698,0.7547031333
36.5,2.11722,0.7501039074
37,2.10745,0.7454786858
37.5,2.09768,0.7408319721
38,2.0928,0.7385028823
38.5,2.08791,0.7361635656
39,2.07815,0.7314780749
39.5,2.06838,0.7267656922
40,2.06349,0.7243987241
40.5,2.05372,0.7196527828
41,2.04396,0.7148891027
41.5,2.03419,0.7100977053
42,2.0293,0.707690906
42.5,2.01954,0.7028697627
43,2.01465,0.700445483
43.5,2.00488,0.6955842086
44,1.99512,0.6907041989
44.5,1.98535,0.685795221
45,1.98046,0.683329141
45.5,1.97558,0.6808620261
46,1.96581,0.6759043741
46.5,1.95604,0.6709220213
47,1.95116,0.6684240675
47.5,1.94628,0.6659198583
48,1.93651,0.6608873839
48.5,1.92674,0.6558294556
49,1.91697,0.6507458145
49.5,1.91697,0.6507458145
50,1.9072,0.6456361979
50.5,1.89744,0.6405056092
51,1.89255,0.6379251261
51.5,1.88767,0.6353432643
52,1.8779,0.6301541312
52.5,1.87302,0.6275521015
53,1.86325,0.6223222748
53.5,1.85836,0.6196943784
54,1.8486,0.6144285958
54.5,1.83883,0.6091294998
55,1.83394,0.6064666579
55.5,1.82906,0.6038021737
56,1.82418,0.601130571
56.5,1.81441,0.595760346
57,1.80952,0.5930616167
57.5,1.79976,0.5876533227
58,1.79487,0.5849325959
58.5,1.78999,0.5822100332
59,1.78022,0.5767369522
59.5,1.77534,0.5739919539
60,1.76557,0.5684735844
60.5,1.76068,0.5657000981
61,1.75092,0.5601413641
61.5,1.74603,0.5573446394
62,1.74115,0.5545458145
62.5,1.73626,0.5517333746
63,1.7265,0.5460962378
63.5,1.72161,0.5432598995
64,1.71673,0.5404213185
64.5,1.70696,0.5347140106
65,1.70696,0.5347140106
65.5,1.69719,0.5289739423
66,1.68742,0.5232007352
66.5,1.68254,0.5203045564
67,1.67766,0.5173999653
67.5,1.66789,0.5115593545
68,1.66789,0.5115593545
68.5,1.65812,0.5056844305
69,1.65324,0.5027369989
69.5,1.64835,0.4997747876
70,1.64347,0.4968098602
70.5,1.63858,0.4938300131
71,1.62882,0.4878558263
71.5,1.62393,0.4848491374
72,1.61905,0.4818395575
72.5,1.60928,0.475786874
73,1.60928,0.475786874
73.5,1.59951,0.4696973323
74,1.59463,0.4666417344
74.5,1.58974,0.4635704808
75,1.57998,0.4574121887
75.5,1.57509,0.4543124135
76,1.57021,0.4512093684
76.5,1.56532,0.4480902759
77,1.56044,0.4449678328
77.5,1.55556,0.4418356094
78,1.55067,0.4386870956
78.5,1.5409,0.4323666613
79,1.53602,0.4291946555
79.5,1.53114,0.426012556
80,1.52625,0.4228137464
80.5,1.51648,0.4163918598
81,1.51648,0.4163918598
81.5,1.50672,0.4099351028
82,1.50183,0.4066843645
82.5,1.50183,0.4066843645
83,1.49206,0.4001577155
83.5,1.48718,0.3968817092
84,1.4823,0.3935949355
84.5,1.47741,0.3902905547
85,1.47253,0.3869820099
85.5,1.46764,0.3836556685
86,1.45788,0.3769833257
86.5,1.45299,0.3736235023
87,1.44811,0.3702592579
87.5,1.44811,0.3702592579
88,1.44322,0.3668767283
88.5,1.43346,0.3600911022
89,1.42857,0.3566739439
89.5,1.42369,0.3532520927
90,1.4188,0.3498114439
90.5,1.41392,0.3463659888
91,1.41392,0.3463659888
91.5,1.40415,0.3394321375
92,1.39927,0.3359506721
92.5,1.39438,0.332449872
93,1.3895,0.3289439702
93.5,1.38462,0.3254257338
94,1.37973,0.3218878279
94.5,1.37485,0.3183446343
95,1.36996,0.3147815423
95.5,1.36508,0.311213035
96,1.35531,0.3040302105
96.5,1.35531,0.3040302105
97,1.35043,0.3004230603
97.5,1.34554,0.2967954195
98,1.34066,0.29316203
98.5,1.33578,0.2895153909
99,1.33089,0.2858478914
99.5,1.32601,0.2821744332
100,1.32112,0.2784798617
100.5,1.32112,0.2784798617
101,1.31624,0.2747791871
101.5,1.31136,0.2710647666
102,1.30159,0.263586594
102.5,1.30159,0.263586594
103,1.29182,0.2560520768
103.5,1.29182,0.2560520768
104,1.28205,0.2484603593
104.5,1.27717,0.2446466927
105,1.27717,0.2446466927
105.5,1.27228,0.2408105665
106,1.2674,0.2369675579
106.5,1.26252,0.2331097236
107,1.25763,0.2292289974
107.5,1.25275,0.2253411349
108,1.25275,0.2253411349
108.5,1.24298,0.2175117223
109,1.24298,0.2175117223
109.5,1.2381,0.2135779464
110,1.23321,0.209620526
110.5,1.22344,0.2016665631
111,1.22344,0.2016665631
111.5,1.21856,0.1976698337
112,1.21368,0.1936570665
112.5,1.20879,0.1896198593
113,1.20391,0.1855745933
113.5,1.19902,0.1815045565
114,1.19414,0.177426261
114.5,1.19414,0.177426261
115,1.18926,0.173331265
115.5,1.18437,0.1692109876
116,1.17949,0.1650821417
116.5,1.1746,0.1609276641
117,1.16972,0.1567644039
117.5,1.16484,0.1525837385
118,1.16484,0.1525837385
118.5,1.15995,0.1483769007
119,1.15507,0.1441609482
119.5,1.15018,0.1399184519
120,1.1453,0.1356666114
120.5,1.1453,0.1356666114
121,1.14042,0.1313966156
121.5,1.13553,0.1270995023
122,1.13065,0.1227926886
122.5,1.12576,0.1184583631
123,1.12576,0.1184583631
123.5,1.12088,0.1141140911
124,1.116,0.109750864
124.5,1.11111,0.1053595157
125,1.11111,0.1053595157
